tier,send_s,status,latency_ms,queue_wait_ms,aged,queue_depth_at_enqueue
paid,17.3584,503,3.78,nan,0,16.0
paid,17.4298,503,3.13,nan,0,16.0
free,17.5012,503,3.32,nan,0,8.0
paid,17.5019,200,2486.73,1636.26,0,8.0
paid,17.5726,200,2414.90,1564.95,0,9.0
paid,17.6440,200,2345.58,1493.78,0,10.0
paid,17.7155,200,2273.53,1422.43,0,11.0
free,17.7511,503,1.99,nan,0,12.0
paid,17.7861,200,2198.59,1352.16,0,12.0
paid,17.8584,200,2129.51,1279.45,0,13.0
paid,17.9297,200,2060.26,1208.23,0,14.0
free,18.0013,503,5.91,nan,0,15.0
paid,18.0040,200,1984.16,1133.55,0,15.0
paid,18.0718,503,3.25,nan,0,16.0
paid,18.1439,503,3.10,nan,0,16.0
paid,18.2154,503,3.71,nan,0,16.0
free,18.2508,503,3.07,nan,0,16.0
paid,18.2869,503,2.91,nan,0,16.0
paid,18.3583,200,2474.28,1621.21,0,8.0
paid,18.4297,200,2397.80,1550.03,0,9.0
paid,18.5008,200,2332.88,1477.53,0,10.0
free,18.5022,503,3.63,nan,0,11.0
paid,18.5716,200,2261.59,1408.42,0,11.0
paid,18.6440,200,2184.21,1336.04,0,12.0
paid,18.7154,200,2115.26,1264.90,0,13.0
free,18.7511,503,3.60,nan,0,14.0
paid,18.7868,200,2044.39,1194.07,0,14.0
paid,18.8582,200,1973.67,1121.07,0,15.0
paid,18.9298,503,3.54,nan,0,16.0
free,19.0013,503,4.33,nan,0,16.0
paid,19.0025,503,3.73,nan,0,16.0
paid,19.0718,503,2.94,nan,0,16.0
paid,19.1476,200,2519.18,1674.79,0,8.0
paid,19.2154,200,2456.91,1607.06,0,9.0
free,19.2512,503,3.76,nan,0,10.0
paid,19.2868,200,2384.30,1534.74,0,10.0
paid,19.3583,200,2313.41,1463.24,0,11.0
paid,19.4297,200,2237.96,1392.04,0,12.0
paid,19.5012,200,2171.66,1318.95,0,13.0
free,19.5024,503,3.64,nan,0,14.0
paid,19.5718,200,2101.70,1249.57,0,14.0
paid,19.6440,200,2026.36,1177.20,0,15.0
paid,19.7154,503,3.21,nan,0,16.0
free,19.7511,503,2.94,nan,0,16.0
paid,19.7868,503,2.29,nan,0,16.0
paid,19.8583,503,3.55,nan,0,16.0
paid,19.9297,503,4.69,nan,0,16.0
