idx,send_s,status,latency_ms,queue_wait_ms,batch_size,queue_depth_at_enqueue
59,3.2781,200,2191.32,1078.64,8.0,2.0
60,3.3336,200,2136.13,1023.13,8.0,3.0
61,3.3893,200,2077.74,967.49,8.0,4.0
62,3.4449,200,2019.14,911.82,8.0,5.0
63,3.5005,200,1968.53,856.40,8.0,6.0
64,3.5561,200,1910.36,801.14,8.0,7.0
65,3.6114,200,2962.66,1850.56,8.0,8.0
66,3.6670,200,2906.46,1794.56,8.0,9.0
67,3.7230,503,2.86,nan,nan,10.0
68,3.7791,503,2.87,nan,nan,10.0
69,3.8351,503,2.70,nan,nan,10.0
70,3.8910,503,2.74,nan,nan,10.0
71,3.9449,503,2.76,nan,nan,10.0
72,4.0009,503,3.53,nan,nan,10.0
73,4.0576,503,2.77,nan,nan,10.0
74,4.1116,503,2.67,nan,nan,10.0
75,4.1675,503,1.52,nan,nan,10.0
76,4.2232,503,2.76,nan,nan,10.0
77,4.2791,503,1.44,nan,nan,10.0
78,4.3337,503,1.71,nan,nan,10.0
79,4.3898,200,2181.39,1072.33,8.0,2.0
80,4.4452,200,2128.52,1016.60,8.0,3.0
81,4.5008,200,2073.10,961.49,8.0,4.0
82,4.5559,200,2016.06,906.64,8.0,5.0
83,4.6118,200,1960.32,850.43,8.0,6.0
84,4.6671,200,1906.51,794.86,8.0,7.0
85,4.7226,200,2959.34,1847.01,8.0,8.0
86,4.7782,200,2909.00,1790.96,8.0,9.0
87,4.8342,503,2.84,nan,nan,10.0
88,4.8903,503,2.74,nan,nan,10.0
89,4.9463,503,2.81,nan,nan,10.0
90,5.0003,503,2.72,nan,nan,10.0
91,5.0562,503,1.97,nan,nan,10.0
92,5.1113,503,1.73,nan,nan,10.0
93,5.1672,503,1.73,nan,nan,10.0
94,5.2231,503,2.88,nan,nan,10.0
95,5.2793,503,2.78,nan,nan,10.0
96,5.3353,503,2.76,nan,nan,10.0
97,5.3893,503,2.72,nan,nan,10.0
98,5.4452,503,2.75,nan,nan,10.0
